1,64.129997
2,64.080002
3,64.540001
4,64.529999
5,64.419998
6,64.330002
7,64.610001
8,64.470001
9,64.739998
10,64.5
11,64.410004
12,64.239998
13,64.25
14,63.52
15,63.57
16,63.740002
17,63.5
18,63.5
19,63.25
20,64.360001
21,64.860001
22,65.690002
23,65.389999
24,64.120003
25,63.950001
26,63.200001
27,62.700001
28,62.669998
29,62.240002
30,62.669998
31,62.68
32,62.619999
33,63.060001
34,62.610001
35,62.73
36,62.759998
37,62.299999
38,62.189999
39,62.48
40,62.790001
41,62.95999
42,62.860001
43,63.400002
44,63.209999
45,63.450001
46,63.84
47,63.43
48,63.689999
49,62.560001
50,62.950001
