1,828.849976
2,825.609985
3,824.549988
4,827.72998
5,830.119995
6,828.659973
7,828.659973
8,823.02002
9,819.929993
10,819.359985
11,819
12,816
13,811.700012
14,809.51001
15,807
16,803.98999
17,799.700012
18,802.98999
19,793.799988
20,799.679993
21,796.859985
22,814.659973
23,834.710022
24,837.809998
25,829.619995
26,822.299988
27,807.25
28,806.909973
29,805.119995
30,805.809998
31,807.080017
32,807.47998
33,807.140015
34,805
35,807.859985
36,806.400024
37,795.26001
38,786.080017
39,788.359985
40,778.809998
41,782.75
42,783.330017
43,793.700012
44,790.679993
45,790.900024
46,792.359985
47,795.840027
48,796.76001
49,790.219971
50,800.400024
