date,5. volume,4. close,2. high,1. open,3. low
2018-04-26 14:21:00,9708.0,283.72,283.85,283.63,283.57
2018-04-26 14:22:00,10415.0,283.9274,284.1499,283.748,283.748
2018-04-26 14:23:00,7200.0,284.0,284.03,283.86,283.86
2018-04-26 14:24:00,16576.0,284.1,284.49,283.98,283.97
2018-04-26 14:25:00,3350.0,283.84,284.06,284.005,283.7734
2018-04-26 14:26:00,4646.0,283.67,283.775,283.775,283.4501
2018-04-26 14:27:00,5000.0,283.2821,283.51,283.51,283.23
2018-04-26 14:28:00,100.0,283.33,283.33,283.33,283.33
2018-04-26 14:29:00,5594.0,283.35,283.63,283.325,283.325
2018-04-26 14:30:00,5650.0,283.4297,283.63,283.4603,283.29
2018-04-26 14:31:00,1000.0,283.69,283.69,283.45,283.45
2018-04-26 14:32:00,2800.0,283.63,283.83,283.61,283.52
2018-04-26 14:33:00,4122.0,283.78,283.91,283.685,283.685
2018-04-26 14:34:00,3296.0,283.9244,283.99,283.835,283.835
2018-04-26 14:35:00,9802.0,284.04,284.1,283.99,283.9585
2018-04-26 14:36:00,5218.0,283.9,284.12,284.12,283.85
2018-04-26 14:37:00,7078.0,284.0,284.0852,284.0,283.85
2018-04-26 14:38:00,2056.0,283.74,284.0,283.9,283.67
2018-04-26 14:39:00,2639.0,283.99,283.99,283.91,283.8
2018-04-26 14:40:00,10050.0,284.0404,284.18,283.9545,283.92
2018-04-26 14:41:00,2631.0,284.03,284.0434,284.01,283.86
2018-04-26 14:42:00,11909.0,284.24,284.3,283.9698,283.9698
2018-04-26 14:43:00,5620.0,284.52,284.52,284.2,284.155
2018-04-26 14:44:00,10512.0,284.4,284.57,284.52,284.26
2018-04-26 14:45:00,5464.0,284.43,284.57,284.4445,284.3301
2018-04-26 14:46:00,5551.0,284.51,284.51,284.4,284.4
2018-04-26 14:47:00,11936.0,284.56,284.6,284.53,284.21
2018-04-26 14:48:00,2770.0,284.4741,284.57,284.4,284.33
2018-04-26 14:49:00,1712.0,284.13,284.4172,284.401,284.13
2018-04-26 14:50:00,4753.0,284.1625,284.21,284.13,283.7635
2018-04-26 14:51:00,1960.0,283.9847,284.153,284.13,283.9847
2018-04-26 14:52:00,1850.0,283.92,284.0002,283.93,283.92
2018-04-26 14:53:00,10681.0,283.5,284.0288,284.0288,283.36
2018-04-26 14:54:00,2400.0,283.64,283.65,283.5,283.435
2018-04-26 14:55:00,5200.0,283.5,283.68,283.596,283.5
2018-04-26 14:56:00,1400.0,283.4552,283.525,283.525,283.4075
2018-04-26 14:57:00,1989.0,283.28,283.39,283.39,283.22
2018-04-26 14:58:00,4687.0,283.5102,283.553,283.28,283.23
2018-04-26 14:59:00,5000.0,283.32,283.58,283.56,283.2175
2018-04-26 15:00:00,863.0,283.34,283.44,283.2897,283.2897
2018-04-26 15:01:00,2834.0,283.3,283.402,283.402,283.25
2018-04-26 15:02:00,5156.0,283.36,283.475,283.38,283.3
2018-04-26 15:03:00,4250.0,283.3725,283.4545,283.4545,283.36
2018-04-26 15:04:00,2743.0,283.51,283.51,283.42,283.39
2018-04-26 15:05:00,6864.0,283.4,283.58,283.4,283.365
2018-04-26 15:06:00,3306.0,283.335,283.4405,283.42,283.27
2018-04-26 15:07:00,10167.0,283.04,283.372,283.325,282.93
2018-04-26 15:08:00,4409.0,283.08,283.3,283.005,282.9611
2018-04-26 15:09:00,5803.0,283.185,283.3,282.99,282.99
2018-04-26 15:10:00,12150.0,283.425,283.5,283.28,283.205
2018-04-26 15:11:00,4507.0,283.39,283.4388,283.41,283.27
2018-04-26 15:12:00,5750.0,283.5,283.65,283.4,283.38
2018-04-26 15:13:00,6729.0,283.19,283.4698,283.4698,283.19
2018-04-26 15:14:00,1121.0,283.3,283.3,283.2102,283.1501
2018-04-26 15:15:00,2480.0,283.6712,283.75,283.31,283.31
2018-04-26 15:16:00,1650.0,283.75,283.75,283.75,283.57
